Id,Img Id,Da,Dp,FWidth,FLength,FThickness,ELength,EThickness,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,L/T Ratio,T/L Aspect Ratio,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,L/W Ratio,W/L Ratio,W/T Ratio,T/W Ratio,CHull Surface Area,Sieve,Angularity,Ellipticity,Fiber Length,Fiber Width,Krumbein Rnd,label
1366,16386.0,1.064,1.182,0.957,1.552,0.858,1.439,0.827,0.912,0.667,0.889,3.712,0.924,3.65,0.9,1.809,0.553,0.686,0.47,0.575,0.811,0.963,0.037,0.983,0.668,0.0,0.4,0.0,3.557,1.622,0.616,1.115,0.897,3.695,0.907,40.0,1.74,0.0,0.0,0.836,2
329,16092.0,1.063,1.587,0.774,2.582,0.297,2.556,0.289,0.726,0.311,0.888,4.986,0.926,4.948,0.67,8.697,0.115,0.412,0.17,0.113,0.449,0.959,0.041,0.992,1.158,0.0,0.437,0.298,3.551,3.335,0.3,2.607,0.384,3.705,0.536,46.364,8.856,2.349,0.238,0.629,2
205,15933.0,1.051,1.349,1.025,2.03,0.466,2.019,0.438,0.955,0.507,0.868,4.237,0.902,4.208,0.78,4.36,0.229,0.518,0.268,0.217,0.608,0.963,0.037,0.993,0.918,0.0,0.367,0.242,3.473,1.981,0.505,2.201,0.454,3.607,0.745,44.667,4.605,1.834,0.349,0.698,2
3803,16795.0,1.048,1.214,0.81,1.472,0.81,1.452,0.812,0.812,0.506,0.863,3.815,0.919,3.783,0.863,1.817,0.55,0.712,0.507,0.559,0.745,0.939,0.061,0.991,0.724,0.0,0.36,0.0,3.453,1.817,0.55,1.0,1.0,3.675,0.81,30.0,1.788,1.117,0.773,0.534,2
1561,16415.0,1.048,1.594,0.831,2.834,0.393,2.617,0.371,0.791,0.484,0.863,5.008,0.938,4.904,0.658,7.218,0.139,0.37,0.137,0.142,0.432,0.921,0.079,0.979,0.776,0.0,0.447,0.082,3.452,3.409,0.293,2.117,0.472,3.75,0.612,37.5,7.049,2.611,0.532,0.767,2
1353,16383.0,1.048,1.156,0.943,1.444,0.911,1.316,0.883,0.899,0.65,0.862,3.63,0.894,3.575,0.907,1.585,0.631,0.726,0.526,0.671,0.822,0.964,0.036,0.985,0.655,0.0,0.388,0.0,3.448,1.531,0.653,1.035,0.966,3.577,0.927,35.833,1.49,0.0,0.0,0.605,2
545,16223.0,1.023,1.131,0.99,1.668,0.742,1.536,0.744,0.938,0.641,0.822,3.552,0.852,3.513,0.905,2.248,0.445,0.613,0.376,0.485,0.819,0.965,0.035,0.989,0.665,0.0,0.225,0.0,3.288,1.685,0.593,1.334,0.75,3.407,0.866,41.667,2.063,1.227,0.85,0.619,2
319,16085.0,1.015,1.537,0.672,2.528,0.332,2.424,0.298,0.639,0.295,0.808,4.828,0.909,4.555,0.66,7.617,0.131,0.401,0.161,0.123,0.436,0.889,0.111,0.943,0.964,0.0,0.517,0.074,3.234,3.762,0.266,2.025,0.494,3.636,0.502,62.667,8.126,2.873,0.308,0.698,2
2984,16651.0,1.006,1.173,0.738,1.728,0.601,1.719,0.59,0.747,0.401,0.796,3.684,0.809,3.668,0.858,2.875,0.348,0.582,0.339,0.343,0.737,0.984,0.016,0.996,0.766,0.0,0.188,0.0,3.182,2.342,0.427,1.228,0.815,3.236,0.669,40.0,2.914,1.245,0.804,0.799,2
81,9038.0,1.005,1.419,0.946,1.186,0.946,1.146,0.902,0.902,0.556,0.794,4.459,0.922,3.517,0.708,1.253,0.798,0.848,0.719,0.787,0.502,0.861,0.139,0.789,0.707,0.0,0.646,0.0,3.175,1.253,0.798,1.0,1.0,3.687,0.946,74.333,1.27,1.785,0.445,0.371,2
